"survey_dt_gmt","polyid","glacier_name","counting_method","num_seals","off_image_count","standard_error","stockid","stockname","survey_date"
2010-06-16 23:45:00,"DF10","John Hopkins Inlet","LATTE",3360.856,NA,169.3451,8,"Glacier Bay/Icy Strait",2010-06-16
2010-06-17 23:46:00,"DF10","John Hopkins Inlet","LATTE",2797.965,NA,255.1021,8,"Glacier Bay/Icy Strait",2010-06-17
2010-08-13 22:20:00,"DF10","John Hopkins Inlet","LATTE",1761.851,NA,131.7238,8,"Glacier Bay/Icy Strait",2010-08-13
2010-08-14 21:12:00,"DF10","John Hopkins Inlet","LATTE",1662.906,NA,106.8461,8,"Glacier Bay/Icy Strait",2010-08-14
2010-08-16 20:19:00,"DF10","John Hopkins Inlet","LATTE",1122.299,NA,84.46861,8,"Glacier Bay/Icy Strait",2010-08-16
2011-06-12 21:47:00,"DF10","John Hopkins Inlet","LATTE",2889.211,NA,117.402,8,"Glacier Bay/Icy Strait",2011-06-12
2011-06-13 21:14:00,"DF10","John Hopkins Inlet","LATTE",3363.336,NA,121.4999,8,"Glacier Bay/Icy Strait",2011-06-13
2011-06-21 22:09:00,"DF10","John Hopkins Inlet","LATTE",2892.447,NA,146.8278,8,"Glacier Bay/Icy Strait",2011-06-21
2011-06-22 21:19:00,"DF10","John Hopkins Inlet","LATTE",2734.188,NA,109.8339,8,"Glacier Bay/Icy Strait",2011-06-22
2011-08-08 20:14:00,"DF10","John Hopkins Inlet","LATTE",1523.671,NA,101.5411,8,"Glacier Bay/Icy Strait",2011-08-08
2011-08-25 21:19:00,"DF10","John Hopkins Inlet","LATTE",1162.703,NA,80.14833,8,"Glacier Bay/Icy Strait",2011-08-25
2012-06-12 20:30:00,"DF10","John Hopkins Inlet","LATTE",2075.268,NA,90.67405,8,"Glacier Bay/Icy Strait",2012-06-12
2012-06-13 21:36:00,"DF10","John Hopkins Inlet","LATTE",3240.462,NA,112.9556,8,"Glacier Bay/Icy Strait",2012-06-13
2012-06-20 23:40:00,"DF10","John Hopkins Inlet","LATTE",2151.281,NA,98.45703,8,"Glacier Bay/Icy Strait",2012-06-20
2012-06-23 23:16:00,"DF10","John Hopkins Inlet","LATTE",1671.694,NA,92.71741,8,"Glacier Bay/Icy Strait",2012-06-23
2012-08-10 22:54:00,"DF10","John Hopkins Inlet","LATTE",1953.658,NA,108.5306,8,"Glacier Bay/Icy Strait",2012-08-10
2012-08-14 20:30:00,"DF10","John Hopkins Inlet","LATTE",1963.105,NA,143.7477,8,"Glacier Bay/Icy Strait",2012-08-14
